Id,Weekly_Sales
1_1_2012-11-02,33065.637032938335
1_1_2012-11-09,19816.072116908806
1_1_2012-11-16,18891.244798364063
1_1_2012-11-23,20142.85802934886
1_1_2012-11-30,21538.95511100103
1_1_2012-12-07,32639.754080190323
1_1_2012-12-14,42499.943294444536
1_1_2012-12-21,47608.027230142
1_1_2012-12-28,24958.652570236314
1_1_2013-01-04,16264.758877533222
1_1_2013-01-11,16992.70448497729
1_1_2013-01-18,19131.78378380033
1_1_2013-01-25,18278.374223938757
1_1_2013-02-01,22363.233406506402
1_1_2013-02-08,35981.05584722816
1_1_2013-02-15,49179.65034723548
1_1_2013-02-22,33307.7402474241
1_1_2013-03-01,19951.981456297315
1_1_2013-03-08,21790.032699440657
1_1_2013-03-15,22387.591236743945
1_1_2013-03-22,34939.916807315676
1_1_2013-03-29,32297.58785295998
1_1_2013-04-05,47206.35193343742
1_1_2013-04-12,34530.87279307829
1_1_2013-04-19,19278.706432882005
1_1_2013-04-26,17522.51122250678
1_1_2013-05-03,18234.553419889013
1_1_2013-05-10,18253.22399433456
1_1_2013-05-17,17515.524080410636
1_1_2013-05-24,16699.050837128623
1_1_2013-05-31,16982.625156952978
1_1_2013-06-07,17854.579892851354
1_1_2013-06-14,17059.09862120721
1_1_2013-06-21,16771.274313520717
1_1_2013-06-28,16430.458435406774
1_1_2013-07-05,17233.341598288287
1_1_2013-07-12,16613.889160713297
1_1_2013-07-19,16579.095293591905
1_1_2013-07-26,16220.234033889425
1_2_2012-11-02,46019.910676024396
1_2_2012-11-09,45165.99952514432
1_2_2012-11-16,43284.75413901005
1_2_2012-11-23,44150.27933519642
1_2_2012-11-30,45402.4388129188
1_2_2012-12-07,48224.70443370389
1_2_2012-12-14,51576.84977274433
1_2_2012-12-21,60360.68711784689
1_2_2012-12-28,45230.38849949278
1_2_2013-01-04,43276.12877079428
1_2_2013-01-11,43429.41257410891
1_2_2013-01-18,43769.8318054354
1_2_2013-01-25,42030.81240470261
1_2_2013-02-01,49370.89756756426
1_2_2013-02-08,50336.1429513397
1_2_2013-02-15,47646.141884992976
1_2_2013-02-22,47131.35531625455
1_2_2013-03-01,49643.95742584815
1_2_2013-03-08,49312.32853621846
1_2_2013-03-15,46415.56545902458
1_2_2013-03-22,45142.42679225646
1_2_2013-03-29,46508.55273563776
1_2_2013-04-05,50511.147031802124
1_2_2013-04-12,45635.99428852138
1_2_2013-04-19,45018.872066315744
1_2_2013-04-26,45340.89992701553
1_2_2013-05-03,49870.82818897392
1_2_2013-05-10,47868.523172880785
1_2_2013-05-17,45146.423613066814
1_2_2013-05-24,45580.894648559886
1_2_2013-05-31,47014.71727773917
1_2_2013-06-07,49573.14355056663
1_2_2013-06-14,45650.981217081906
1_2_2013-06-21,46039.469107915065
1_2_2013-06-28,46215.47200852545
1_2_2013-07-05,49198.92416507162
1_2_2013-07-12,45377.67516919956
1_2_2013-07-19,45547.54794601043
1_2_2013-07-26,45890.8650204665
1_3_2012-11-02,9666.346576667871
1_3_2012-11-09,9878.438911309586
1_3_2012-11-16,9688.96199771394
1_3_2012-11-23,9930.147392114919
1_3_2012-11-30,10234.39597435575
1_3_2012-12-07,12592.433897139192
1_3_2012-12-14,12682.53111402418
1_3_2012-12-21,13957.128675769734
1_3_2012-12-28,9885.065657273564
1_3_2013-01-04,13572.479117550174
1_3_2013-01-11,13445.135550877381
1_3_2013-01-18,12846.682203658482
1_3_2013-01-25,11558.008659164101
1_3_2013-02-01,11973.794416308809
1_3_2013-02-08,12541.170711287374
1_3_2013-02-15,11179.857684550105
1_3_2013-02-22,10607.371729194954
1_3_2013-03-01,11195.839536303582
1_3_2013-03-08,11332.715513122008
1_3_2013-03-15,8691.436078923196
1_3_2013-03-22,8371.891749013606
1_3_2013-03-29,9090.219482515658
1_3_2013-04-05,9937.648722543272
1_3_2013-04-12,9165.33357474241
1_3_2013-04-19,8647.534410379327
1_3_2013-04-26,8706.708613065897
1_3_2013-05-03,10188.6648864087
1_3_2013-05-10,9542.508093292216
1_3_2013-05-17,8364.532086915111
1_3_2013-05-24,8225.782713927863
1_3_2013-05-31,8508.469496629685
1_3_2013-06-07,8529.088923605017
1_3_2013-06-14,7963.607398679329
1_3_2013-06-21,7475.512601603268
1_3_2013-06-28,7552.614084195253
1_3_2013-07-05,8510.099927988873
1_3_2013-07-12,13274.357376581442
1_3_2013-07-19,19030.625477260393
1_3_2013-07-26,21478.07402546004
1_4_2012-11-02,39430.51259853602
1_4_2012-11-09,38280.057901702596
1_4_2012-11-16,36255.06579511284
1_4_2012-11-23,43856.22540626174
1_4_2012-11-30,40382.965154284
1_4_2012-12-07,38383.41520447372
1_4_2012-12-14,38035.09107224369
1_4_2012-12-21,42670.55717587551
1_4_2012-12-28,40692.527946680675
1_4_2013-01-04,40267.12601123119
1_4_2013-01-11,36018.94039595497
1_4_2013-01-18,35152.384433180945
1_4_2013-01-25,34318.84572365133
1_4_2013-02-01,38273.461909855934
1_4_2013-02-08,40246.35260447801
1_4_2013-02-15,37328.412478471364
1_4_2013-02-22,35637.30014277615
1_4_2013-03-01,38077.38229300406
1_4_2013-03-08,39420.917081543885
1_4_2013-03-15,36941.03634785246
1_4_2013-03-22,35879.93897944362
1_4_2013-03-29,37421.67288545962
1_4_2013-04-05,40986.68242761497
1_4_2013-04-12,36523.772816623794
1_4_2013-04-19,36177.96271087684
1_4_2013-04-26,36324.2071643611
1_4_2013-05-03,41281.49072031942
1_4_2013-05-10,39224.32602204909
1_4_2013-05-17,36302.94669883356
1_4_2013-05-24,37619.44509605387
1_4_2013-05-31,38925.85834222392
1_4_2013-06-07,41673.98939056271
1_4_2013-06-14,38091.999018110524
1_4_2013-06-21,37491.18159152864
1_4_2013-06-28,37480.44813426322
1_4_2013-07-05,42379.955576133274
1_4_2013-07-12,37475.877318508115
1_4_2013-07-19,37543.04519978906
1_4_2013-07-26,37339.21590627583
1_5_2012-11-02,26664.48321004321
1_5_2012-11-09,28234.54740651692
1_5_2012-11-16,25711.23284632583
1_5_2012-11-23,68965.87015144608
1_5_2012-11-30,52089.371721252646
1_5_2012-12-07,37413.36595479519
1_5_2012-12-14,45408.59441785465
1_5_2012-12-21,62497.6512214245
1_5_2012-12-28,47099.37740192039
1_5_2013-01-04,22745.2612020284
1_5_2013-01-11,19049.518128410207
1_5_2013-01-18,19797.0800123293
1_5_2013-01-25,21072.564926454797
1_5_2013-02-01,29895.88635856496
1_5_2013-02-08,35198.838201486746
1_5_2013-02-15,41209.29497199258
1_5_2013-02-22,28127.096770552675
1_5_2013-03-01,27612.784977252282
1_5_2013-03-08,26378.4350492276
1_5_2013-03-15,26633.043613962967
1_5_2013-03-22,24591.416751185716
1_5_2013-03-29,24147.659888175232
1_5_2013-04-05,26848.524713290473
1_5_2013-04-12,19233.745661333025
1_5_2013-04-19,17054.70511078075
1_5_2013-04-26,17482.319399271113
1_5_2013-05-03,18693.967792035437
1_5_2013-05-10,18073.371558858395
1_5_2013-05-17,17486.24909648671
1_5_2013-05-24,19516.900662676686
1_5_2013-05-31,19071.638456402565
1_5_2013-06-07,22349.563987050096
1_5_2013-06-14,21324.650999596666
1_5_2013-06-21,21485.19528647161
1_5_2013-06-28,19108.91147066038
1_5_2013-07-05,20112.277492636662
1_5_2013-07-12,18034.268925062283
1_5_2013-07-19,17545.01993538736
1_5_2013-07-26,16386.773320061064
1_6_2012-11-02,3957.8142483794727
1_6_2012-11-09,3158.2055909662713
1_6_2012-11-16,3479.190887736736
1_6_2012-11-23,16300.135446749704
1_6_2012-11-30,13333.325297429488
1_6_2012-12-07,6177.083387577935
1_6_2012-12-14,8261.670821975538
1_6_2012-12-21,15887.87231163838
1_6_2012-12-28,10681.126325851314
1_6_2013-01-04,3176.2348328690496
1_6_2013-01-11,2474.7472442239864
1_6_2013-01-18,2479.625080017088
1_6_2013-01-25,2272.442018249254
1_6_2013-02-01,3866.2903944003347
1_6_2013-02-08,5633.968176619497
1_6_2013-02-15,4606.831910576444
1_6_2013-02-22,3655.54950706968
1_6_2013-03-01,4361.329507980033
1_6_2013-03-08,4190.597091452795
1_6_2013-03-15,3899.965430705084
1_6_2013-03-22,3408.6758371550777
1_6_2013-03-29,4351.9692501175905
1_6_2013-04-05,4486.121674394157
1_6_2013-04-12,4096.624959655554
1_6_2013-04-19,3586.8011772726604
1_6_2013-04-26,3722.6048621110713
1_6_2013-05-03,4700.525621596747
1_6_2013-05-10,3977.1098651262746
1_6_2013-05-17,4811.586054627994
1_6_2013-05-24,4570.041524231709
1_6_2013-05-31,5011.403187665367
1_6_2013-06-07,4329.264386649494
1_6_2013-06-14,3980.0160929877857
1_6_2013-06-21,4239.320591781257
1_6_2013-06-28,4359.733134559019
1_6_2013-07-05,3455.090127562765
1_6_2013-07-12,2795.236600134875
1_6_2013-07-19,3283.3187246323414
1_6_2013-07-26,2898.7750857931196
1_7_2012-11-02,22271.902272758765
1_7_2012-11-09,24907.773698138968
1_7_2012-11-16,23608.66609894535
1_7_2012-11-23,68151.19315279994
1_7_2012-11-30,51596.71456530024
1_7_2012-12-07,46729.17538178524
1_7_2012-12-14,70416.9286643172
1_7_2012-12-21,126946.28695458232
1_7_2012-12-28,66382.15129410668
1_7_2013-01-04,13063.323543388862
1_7_2013-01-11,10193.358837199015
1_7_2013-01-18,10707.779877212386
1_7_2013-01-25,11202.195080313872
1_7_2013-02-01,16040.832354292736
1_7_2013-02-08,20074.551011961943
1_7_2013-02-15,18508.17939105212
1_7_2013-02-22,18141.753644719473
1_7_2013-03-01,17815.4591633883
1_7_2013-03-08,18563.099464962586
1_7_2013-03-15,20038.287601490116
1_7_2013-03-22,19143.46303775311
1_7_2013-03-29,19685.23164228175
1_7_2013-04-05,25054.93175097183
1_7_2013-04-12,21776.168498154533
1_7_2013-04-19,19787.985710740013
1_7_2013-04-26,19345.670822003507
1_7_2013-05-03,22124.594442166977
1_7_2013-05-10,21849.133483155754
1_7_2013-05-17,20135.631123449857
1_7_2013-05-24,27522.88070738436
1_7_2013-05-31,29650.43003024216
1_7_2013-06-07,30821.52785519085
1_7_2013-06-14,26842.913580941145
1_7_2013-06-21,25670.12361324118
1_7_2013-06-28,25138.209170226597
1_7_2013-07-05,26458.425403753725
1_7_2013-07-12,18502.45090641827
1_7_2013-07-19,17282.526662341254
1_7_2013-07-26,16621.69387312829
1_8_2012-11-02,40681.370941286106
1_8_2012-11-09,39051.47547463086
1_8_2012-11-16,37878.98319471328
1_8_2012-11-23,35253.64202176445
