Id,Weekly_Sales
1_1_2012-11-02,34516.86558904599
1_1_2012-11-09,18516.346603739985
1_1_2012-11-16,18129.52294264239
1_1_2012-11-23,19300.503689392357
1_1_2012-11-30,20178.41918740633
1_1_2012-12-07,33145.409079749275
1_1_2012-12-14,42068.959509166445
1_1_2012-12-21,49159.89158484211
1_1_2012-12-28,24951.904484223403
1_1_2013-01-04,15917.032963813697
1_1_2013-01-11,16872.822900454394
1_1_2013-01-18,20797.963279708547
1_1_2013-01-25,18127.52599081203
1_1_2013-02-01,20926.712893138778
1_1_2013-02-08,35677.56072977797
1_1_2013-02-15,52508.41010153968
1_1_2013-02-22,40169.445416449875
1_1_2013-03-01,18594.666914161666
1_1_2013-03-08,22477.6192673897
1_1_2013-03-15,23006.847289744
1_1_2013-03-22,44175.322883235705
1_1_2013-03-29,33708.989407016954
1_1_2013-04-05,46855.94073811829
1_1_2013-04-12,36305.19379192036
1_1_2013-04-19,18717.544514331166
1_1_2013-04-26,16732.4175830126
1_1_2013-05-03,18942.469596603212
1_1_2013-05-10,18563.377375694567
1_1_2013-05-17,16967.86833545911
1_1_2013-05-24,16418.417010868237
1_1_2013-05-31,17585.605759588787
1_1_2013-06-07,18469.29438948638
1_1_2013-06-14,16795.251212052783
1_1_2013-06-21,16748.52229836838
1_1_2013-06-28,16935.999735347184
1_1_2013-07-05,17241.374376288375
1_1_2013-07-12,16324.536078094938
1_1_2013-07-19,16648.335677887662
1_1_2013-07-26,16419.99598799539
1_2_2012-11-02,45154.34526956392
1_2_2012-11-09,44252.742030925976
1_2_2012-11-16,43240.59616028616
1_2_2012-11-23,43381.85264475686
1_2_2012-11-30,45976.98709759887
1_2_2012-12-07,48812.99037691782
1_2_2012-12-14,49355.39863560952
1_2_2012-12-21,61861.06706347497
1_2_2012-12-28,43957.411110398236
1_2_2013-01-04,42871.11169524143
1_2_2013-01-11,43158.21388916043
1_2_2013-01-18,43638.808412655155
1_2_2013-01-25,42360.22861314669
1_2_2013-02-01,46127.51067947617
1_2_2013-02-08,50644.3083420091
1_2_2013-02-15,48782.99199288203
1_2_2013-02-22,47263.22742361136
1_2_2013-03-01,47244.29222539825
1_2_2013-03-08,49342.59428122594
1_2_2013-03-15,46255.32977717907
1_2_2013-03-22,44525.11690891928
1_2_2013-03-29,46742.35584290399
1_2_2013-04-05,50291.34507564765
1_2_2013-04-12,46277.56393350022
1_2_2013-04-19,44888.17268523618
1_2_2013-04-26,45175.46962588739
1_2_2013-05-03,50188.88282767697
1_2_2013-05-10,48075.56466132864
1_2_2013-05-17,45233.531142353764
1_2_2013-05-24,45695.83199933855
1_2_2013-05-31,47676.229091458554
1_2_2013-06-07,50000.784162717006
1_2_2013-06-14,46301.95631767266
1_2_2013-06-21,46608.6590928518
1_2_2013-06-28,46787.60592371349
1_2_2013-07-05,49273.51969900923
1_2_2013-07-12,45679.39555092583
1_2_2013-07-19,46562.7375550432
1_2_2013-07-26,46995.84913201181
1_3_2012-11-02,9786.110091037082
1_3_2012-11-09,9762.146719854236
1_3_2012-11-16,9508.645425442488
1_3_2012-11-23,9906.32322803855
1_3_2012-11-30,11034.715325513629
1_3_2012-12-07,13127.978116443534
1_3_2012-12-14,12661.934408189958
1_3_2012-12-21,15085.627087237928
1_3_2012-12-28,9010.904209084103
1_3_2013-01-04,13232.45092670334
1_3_2013-01-11,13270.55240951225
1_3_2013-01-18,13559.083089990536
1_3_2013-01-25,12169.925129962363
1_3_2013-02-01,11752.575003464233
1_3_2013-02-08,13158.97282010384
1_3_2013-02-15,11877.011650281798
1_3_2013-02-22,10576.155629053572
1_3_2013-03-01,10949.501400463174
1_3_2013-03-08,11253.705719199254
1_3_2013-03-15,8795.718875514991
1_3_2013-03-22,8530.141695100718
1_3_2013-03-29,9321.751134321168
1_3_2013-04-05,10275.55114194097
1_3_2013-04-12,9122.24888618958
1_3_2013-04-19,8792.062338479125
1_3_2013-04-26,8848.336402980913
1_3_2013-05-03,10023.796310102998
1_3_2013-05-10,9475.894956899354
1_3_2013-05-17,8439.715992940166
1_3_2013-05-24,8187.6128332400185
1_3_2013-05-31,9073.192688345674
1_3_2013-06-07,9017.983168584879
1_3_2013-06-14,8009.334631806423
1_3_2013-06-21,7540.059718878865
1_3_2013-06-28,7954.45223895134
1_3_2013-07-05,8870.853191204493
1_3_2013-07-12,14026.245542608061
1_3_2013-07-19,18834.66008772671
1_3_2013-07-26,21926.14869489399
1_4_2012-11-02,39122.33907402908
1_4_2012-11-09,37451.87210408628
1_4_2012-11-16,36191.65869737129
1_4_2012-11-23,41570.88206437285
1_4_2012-11-30,39286.90268617745
1_4_2012-12-07,38227.95103729776
1_4_2012-12-14,36918.02845876721
1_4_2012-12-21,41981.68330232479
1_4_2012-12-28,38614.515909173075
1_4_2013-01-04,39967.70364420473
1_4_2013-01-11,35959.91744610916
1_4_2013-01-18,35927.95324766284
1_4_2013-01-25,34604.9606672795
1_4_2013-02-01,36610.978301001815
1_4_2013-02-08,41208.60602088894
1_4_2013-02-15,38245.50006162235
1_4_2013-02-22,35881.2809067267
1_4_2013-03-01,36655.049143795906
1_4_2013-03-08,39362.64086527783
1_4_2013-03-15,35988.54379689825
1_4_2013-03-22,34923.06448438082
1_4_2013-03-29,37020.20351096137
1_4_2013-04-05,40754.59010421707
1_4_2013-04-12,36141.39975306883
1_4_2013-04-19,35989.87994968253
1_4_2013-04-26,36014.23601360091
1_4_2013-05-03,40579.348326504296
1_4_2013-05-10,38494.089506974546
1_4_2013-05-17,36049.22532585593
1_4_2013-05-24,37907.49438164701
1_4_2013-05-31,40001.2611729834
1_4_2013-06-07,41886.24426211237
1_4_2013-06-14,37604.41624623585
1_4_2013-06-21,37499.54457608653
1_4_2013-06-28,37929.98577927054
1_4_2013-07-05,41715.40967377112
1_4_2013-07-12,37169.569059475456
1_4_2013-07-19,37725.27323027491
1_4_2013-07-26,38583.61544036338
1_5_2012-11-02,25183.15154356124
1_5_2012-11-09,27732.911201645435
1_5_2012-11-16,25527.249342559506
1_5_2012-11-23,77582.50195980034
1_5_2012-11-30,65625.49880667528
1_5_2012-12-07,39366.65716903705
1_5_2012-12-14,47525.00041220356
1_5_2012-12-21,65400.679454732
1_5_2012-12-28,33027.764223055034
1_5_2013-01-04,22020.87219747724
1_5_2013-01-11,18745.648882005924
1_5_2013-01-18,20466.017721113058
1_5_2013-01-25,20300.21652785897
1_5_2013-02-01,28449.980351957496
1_5_2013-02-08,33658.77326460706
1_5_2013-02-15,41620.566838126004
1_5_2013-02-22,27115.147969263016
1_5_2013-03-01,26975.875686428415
1_5_2013-03-08,27256.678863941117
