Id,Weekly_Sales
1_1_2012-11-02,32098.15132886656
1_1_2012-11-09,20682.555792354695
1_1_2012-11-16,19399.05936884518
1_1_2012-11-23,20704.427589319857
1_1_2012-11-30,22445.97906006416
1_1_2012-12-07,32302.65074715102
1_1_2012-12-14,42787.26581796326
1_1_2012-12-21,46573.45099367525
1_1_2012-12-28,24963.15129424492
1_1_2013-01-04,16496.57615334624
1_1_2013-01-11,17072.625541325888
1_1_2013-01-18,18020.99745319485
1_1_2013-01-25,18378.93971268991
1_1_2013-02-01,23320.91374875149
1_1_2013-02-08,36183.38592552829
1_1_2013-02-15,46960.477177699344
1_1_2013-02-22,28733.270134740254
1_1_2013-03-01,20856.857817721077
1_1_2013-03-08,21331.6416541413
1_1_2013-03-15,21974.753868077238
1_1_2013-03-22,28782.979423369
1_1_2013-03-29,31356.653483588663
1_1_2013-04-05,47439.95939698351
1_1_2013-04-12,33347.992127183585
1_1_2013-04-19,19652.814378582567
1_1_2013-04-26,18049.2403155029
1_1_2013-05-03,17762.60930207955
1_1_2013-05-10,18046.45507342789
1_1_2013-05-17,17880.62791037832
1_1_2013-05-24,16886.140054635547
1_1_2013-05-31,16580.638088529104
1_1_2013-06-07,17444.770228428006
1_1_2013-06-14,17234.99689397683
1_1_2013-06-21,16786.442323622272
1_1_2013-06-28,16093.430902113163
1_1_2013-07-05,17227.986412954895
1_1_2013-07-12,16806.7912157922
1_1_2013-07-19,16532.935037394738
1_1_2013-07-26,16087.059397818779
1_2_2012-11-02,46596.95428033138
1_2_2012-11-09,45774.83785462321
1_2_2012-11-16,43314.192791492664
1_2_2012-11-23,44662.563795489456
1_2_2012-11-30,45019.4066231321
1_2_2012-12-07,47832.513804894596
1_2_2012-12-14,53057.817197500866
1_2_2012-12-21,59360.43382076149
1_2_2012-12-28,46079.04009222247
1_2_2013-01-04,43546.14015449618
1_2_2013-01-11,43610.21169740789
1_2_2013-01-18,43857.18073395557
1_2_2013-01-25,41811.201599073225
1_2_2013-02-01,51533.15549295631
1_2_2013-02-08,50130.69935756011
1_2_2013-02-15,46888.24181306695
1_2_2013-02-22,47043.44057801668
